"111","12","08","East Siang",NULL,NULL
"111","12","09","Upper Siang",NULL,NULL
"111","12","10","Dibang Valley",NULL,NULL
"111","12","11","Lohit",NULL,NULL
"111","12","12","Changlang",NULL,NULL
"111","12","13","Tirap",NULL,NULL
"111","12","14","West Kameng",NULL,NULL
"111","12","16","Kurung Kumey",NULL,NULL
"111","13","01","Mon",NULL,NULL
"111","13","02","Tuensang",NULL,NULL
"111","13","03","Mokokchung",NULL,NULL
"111","13","04","Zunheboto",NULL,NULL
"111","13","05","Wokha",NULL,NULL
"111","13","06","Dimapur",NULL,NULL
"111","13","07","Kohima",NULL,NULL
"111","13","08","Phek",NULL,NULL
"111","13","09","KIPHIRE",NULL,NULL
"111","14","01","Senapati",NULL,NULL
"111","14","02","Tamenglong",NULL,NULL
"111","14","03","Churachandpur",NULL,NULL
"111","14","04","Bishnupur",NULL,NULL
"111","14","05","Thoubal",NULL,NULL
"111","14","06","Imphal West",NULL,NULL
"111","14","07","Imphal East",NULL,NULL
"111","14","08","Ukhrul",NULL,NULL
"111","14","09","Chandel",NULL,NULL
"111","15","01","Mamit",NULL,NULL
"111","15","02","Kolasib",NULL,NULL
"111","15","03","Aizawl",NULL,NULL
"111","15","04","Champhai",NULL,NULL
"111","15","05","Serchhip",NULL,NULL
"111","15","06","Lunglei",NULL,NULL
"111","15","07","Lawngtlai",NULL,NULL
"111","15","08","Saiha",NULL,NULL
"111","16","01","West Tripura",NULL,NULL
"111","16","02","South Tripura",NULL,NULL
"111","16","03","Dhalai",NULL,NULL
"111","16","04","North Tripura",NULL,NULL
"111","17","01","West Garo Hills",NULL,NULL
"111","17","02","East Garo Hills",NULL,NULL
"111","17","03","South Garo Hills",NULL,NULL
"111","17","04","West Khasi Hills",NULL,NULL
"111","17","05","Ri Bhoi",NULL,NULL
"111","17","06","East Khasi Hills",NULL,NULL
"111","17","07","Jaintia Hills",NULL,NULL
"111","18","01","Kokrajhar",NULL,NULL
"111","18","02","Dhubri",NULL,NULL
"111","18","03","Goalpara",NULL,NULL
"111","18","04","Bongaigaon",NULL,NULL
"111","18","05","Barpeta",NULL,NULL
"111","18","06","Kamrup",NULL,NULL
"111","18","07","Nalbari",NULL,NULL
"111","18","08","Darrang",NULL,NULL
"111","18","09","Marigaon",NULL,NULL
"111","18","10","Nagaon",NULL,NULL
"111","18","11","Sonitpur",NULL,NULL
"111","18","12","Lakhimpur",NULL,NULL
"111","18","13","Dhemaji",NULL,NULL
"111","18","14","Tinsukia",NULL,NULL
"111","18","15","Dibrugarh",NULL,NULL
"111","18","16","Sibsagar",NULL,NULL
"111","18","17","Jorhat",NULL,NULL
"111","18","18","Golaghat",NULL,NULL
"111","18","19","Karbi Anglong",NULL,NULL
"111","18","20","North Cachar Hills",NULL,NULL
"111","18","21","Cachar",NULL,NULL
"111","18","22","Karimganj",NULL,NULL
"111","18","23","Hailakandi",NULL,NULL
"111","18","24","Guwahati",NULL,NULL
"111","19","01","Bankura",NULL,NULL
"111","19","02","Burdwan",NULL,NULL
"111","19","03","Birbhum",NULL,NULL
"111","19","04","Darjeeling",NULL,NULL
"111","19","05","Howrah",NULL,NULL
"111","19","06","Hooghly",NULL,NULL
"111","19","07","Jalpaiguri",NULL,NULL
"111","19","08","Coochbehar",NULL,NULL
"111","19","09","Malda",NULL,NULL
"111","19","10","Paschim Midnapore",NULL,NULL
"111","19","11","Purba Midnapore",NULL,NULL
"111","19","12","Murshidabad",NULL,NULL
"111","19","13","Nadia",NULL,NULL
"111","19","14","Purulia",NULL,NULL
"111","19","15","North 24-Parganas",NULL,NULL
"111","19","16","South 24-Parganas",NULL,NULL
"111","19","17","Dakshin Dinajpur",NULL,NULL
"111","19","18","Uttar Dinajpur",NULL,NULL
"111","19","19","Kolkata",NULL,NULL
